466880,板橋
466900,淡水
466910,鞍部
466920,臺北
466930,竹子湖
466940,基隆
466950,彭佳嶼
466990,花蓮
467050,新屋
467060,蘇澳
467080,宜蘭
467110,金門
467270,田中
467300,東吉島
467350,澎湖
467410,臺南
467420,永康
467440,高雄
467480,嘉義
467490,臺中
467530,阿里山
467540,大武
467550,玉山
467571,新竹
467590,恆春
467610,成功
467620,蘭嶼
467650,日月潭
467660,臺東
467770,梧棲
467990,馬祖
C0A520,山佳
C0A530,坪林
C0A540,四堵
C0A550,泰平
C0A560,福山
C0A570,桶後
C0A640,石碇
C0A650,火燒寮
C0A660,瑞芳
C0A860,大坪
C0A870,五指山
C0A880,福隆
C0A890,雙溪
C0A920,富貴角
C0A931,三和
C0A940,金山
C0A950,鼻頭角
C0A970,三貂角
C0A980,社子
C0A9C0,天母
C0A9E0,士林
C0A9F0,內湖
C0AC40,大屯山
C0AC60,三峽
C0AC70,信義
C0AC80,文山
C0ACA0,新莊
C0AD00,三芝
C0AD10,八里
C0AD30,蘆洲
C0AD40,土城
C0AD50,鶯歌
C0AG90,中和
C0AH00,汐止
C0AH10,永和
C0AH30,五分山
C0AH40,平等
C0AH50,林口
C0AH70,松山
C0AH80,深坑
C0AH90,福山植物園
C0AI00,五股
C0AI10,屈尺
C0AI20,白沙灣
C0AI30,三重
C0AI40,石牌
C0B010,七堵
C0B020,基隆嶼
C0C460,復興
C0C480,桃園
C0C490,八德
C0C540,大園
C0C590,觀音
C0C620,蘆竹
C0C630,大溪
C0C650,平鎮
C0C660,楊梅
C0C670,龍潭
C0C680,龜山
C0C700,中壢
C0C710,大溪永福
C0D360,梅花
C0D390,關西
C0D430,峨眉
C0D480,打鐵坑
C0D540,橫山
C0D550,雪霸
C0D560,竹東
C0D570,香山
C0D580,寶山
C0D590,新豐
C0D650,湖口
C0D660,新竹市東區
C0E420,竹南
C0E430,南庄
C0E520,大湖
C0E540,後龍
C0E550,明德
C0E590,通霄
C0E610,馬都安
C0E730,頭份
C0E740,造橋
C0E750,苗栗
C0E780,銅鑼
C0E790,卓蘭
C0E810,西湖
C0E820,獅潭
C0E830,苑裡
C0E850,大河
C0E870,高鐵苗栗
C0E880,三義
C0F000,大肚
C0F0A0,雪山圈谷
C0F0B0,石岡
C0F0C0,中坑
C0F0D0,審馬陣
C0F0E0,南湖圈谷
C0F850,東勢
C0F861,梨山
C0F930,大甲
C0F970,大坑
C0F9A0,中竹林
C0F9I0,神岡
C0F9K0,大安
C0F9L0,后里
C0F9M0,豐原
C0F9N0,大里
C0F9O0,潭子
C0F9P0,清水
C0F9Q0,外埔
C0F9R0,龍井
C0F9S0,烏日
C0F9T0,西屯
C0F9U0,南屯
C0F9V0,新社
C0F9X0,大雅(中科園區)
C0F9Y0,桃山
C0F9Z0,雪山東峰
C0FA00,烏石坑
C0G620,芬園
C0G640,鹿港
C0G650,員林
C0G660,溪湖
C0G720,溪州
C0G730,二林
C0G740,大城
C0G750,竹塘
C0G760,高鐵彰化
C0G770,福興
C0G780,秀水
C0G800,埔鹽
C0G810,埔心
C0G820,田尾
C0G830,埤頭
C0G840,北斗
C0G860,社頭
C0G870,芳苑
C0G880,二水
C0G890,伸港
C0G900,線西
C0G910,花壇
C0H890,埔里
C0H950,中寮
C0H960,草屯
C0H990,昆陽
C0H9A0,神木村
C0H9C0,合歡山
C0I010,廬山
C0I080,信義
C0I090,鳳凰
C0I110,竹山
C0I360,水里
C0I370,魚池
C0I380,集集
C0I390,仁愛
C0I410,名間
C0I420,國姓
C0I460,南投
C0I480,梅峰
C0I490,萬大林道
C0I520,玉山風口
C0I530,小奇萊
C0I540,奇萊稜線
C0K240,草嶺
C0K250,崙背
C0K280,四湖
C0K291,宜梧
C0K330,虎尾
C0K390,土庫
C0K400,斗六
C0K410,北港
C0K420,西螺
C0K430,褒忠
C0K440,二崙
C0K450,大埤
C0K460,斗南
C0K470,林內
C0K480,莿桐
C0K490,古坑
C0K500,元長
C0K510,水林
C0K520,雲林東勢
C0K530,臺西
C0K550,蔦松
C0K560,棋山
C0K580,高鐵雲林
C0M410,馬頭山
C0M520,東後寮
C0M530,奮起湖
C0M640,中埔
C0M650,朴子
C0M660,溪口
C0M670,大林
C0M680,太保
C0M690,水上
C0M700,竹崎
C0M710,東石
C0M720,番路
C0M730,嘉義市東區
C0M740,六腳
C0M750,布袋
C0M760,民雄
C0M770,嘉義梅山
C0M780,鹿草
C0M790,新港
C0M800,茶山
C0M810,里佳
C0M820,達邦
C0M850,表湖
C0M860,新美
C0O810,曾文
C0O830,北寮
C0O840,王爺宮
C0O860,大內
C0O900,善化
C0O930,玉井
C0O950,安南
C0O960,崎頂
C0O970,虎頭埤
C0O980,新市
C0O990,媽廟
C0R100,尾寮山
C0R130,阿禮
C0R140,瑪家
C0R150,三地門
C0R160,鹽埔
C0R170,屏東
C0R190,赤山
C0R220,潮州
C0R240,來義
C0R260,春日
C0R270,琉球嶼
C0R280,檳榔
C0R320,車城
C0R350,貓鼻頭
C0R440,大漢山
C0R470,高樹
C0R480,長治
C0R490,九如
C0R510,萬丹
C0R520,崁頂
C0R530,林邊
C0R540,佳冬
C0R550,新埤
C0R560,新園
C0R570,麟洛
C0R580,南州
C0R590,里港
C0R600,舊泰武
C0R620,墾雷
C0R640,東港
C0R650,竹田
C0R660,枋寮
C0R670,楓港
C0R680,佳樂水
C0R690,墾丁
C0R700,枋山
C0R710,龍磐
C0R720,旭海
C0R730,大坪頂
C0R740,獅子
C0R750,四林格山
C0R760,南仁湖
C0R770,保力
C0R780,滿州
C0R790,九棚
C0R800,丹路
C0R810,內獅
C0R820,白鷺
C0R830,高士
C0R840,牡丹池山
C0S660,下馬
C0S690,太麻里
C0S700,知本
C0S710,鹿野
C0S730,綠島
C0S740,池上
C0S750,向陽
C0S760,紅石
C0S770,大溪山
C0S790,金崙
C0S810,東河
C0S830,長濱
C0S840,南田
C0S890,關山
C0S900,蘭嶼高中
C0S910,蘭嶼燈塔
C0S920,金峰嘉蘭
C0S930,延平
C0S940,石寧山
C0S950,七塊厝
C0S960,香蘭
C0S970,加津林
C0S980,勝林山
C0S990,山豬窟
C0SA00,歷坵
C0SA10,檳榔四格山
C0SA20,金崙山
C0SA30,都歷
C0SA40,瑞和
C0SA60,知本（水試所）
C0SA80,土?
C0SA90,達仁林場
C0T790,大禹嶺
C0T820,天祥
C0T870,鯉魚潭
C0T900,西林
C0T960,光復
C0T9A0,月眉山
C0T9B0,水源
C0T9D0,和中
C0T9E0,大坑
C0T9F0,水璉
C0T9G0,鳳林山
C0T9H0,加路蘭山
C0T9I0,豐濱
C0T9M0,靜浦
C0T9N0,富里
C0U520,雙連埤
C0U600,礁溪
C0U650,玉蘭
C0U710,太平山
C0U720,南山
C0U750,龜山島
C0U760,東澳
C0U770,南澳
C0U780,五結
C0U860,頭城
C0U870,大礁溪
C0U890,三星
C0U900,內城
C0U910,冬山
C0U940,羅東
C0U950,鶯子嶺
C0U960,翠峰湖
C0U970,大福
C0U980,坪林石牌
C0U990,員山
C0UA00,土場
C0UA10,鴛鴦湖
C0UA20,多加屯
C0UA30,白嶺
C0UA40,西德山
C0UA50,西帽山
C0UA60,樟樹山
C0UA70,桃源谷
C0V210,復興
C0V250,甲仙
C0V260,月眉
C0V310,美濃
C0V350,溪埔
C0V360,內門
C0V370,古亭坑
C0V400,阿公店
C0V440,鳳山
C0V450,鳳森
C0V490,新興
C0V500,旗津
C0V530,阿蓮
C0V610,梓官
C0V620,永安
C0V630,茄萣
C0V640,湖內
C0V650,彌陀
C0V660,岡山
C0V670,楠梓
C0V680,仁武
C0V690,鼓山
C0V700,三民
C0V710,苓雅
C0V720,林園
C0V730,大寮
C0V740,旗山
C0V750,路竹
C0V760,橋頭
C0V770,大社
C0V790,萬山
C0V800,六龜
C0V810,左營
C0V820,小林
C0W110,東莒
C0W120,西嶼
C0W130,花嶼
C0W140,金沙
C0W150,金寧
C0W160,烏坵
C0W170,東引
C0X050,東河
C0X060,下營
C0X080,佳里
C0X100,臺南市北區
C0X110,臺南市南區
C0X120,麻豆
C0X130,官田
C0X140,西港
C0X150,安定
C0X160,仁德
C0X170,關廟
C0X180,山上
C0X190,安平
C0X200,左鎮
C0X210,白河
C0X220,學甲
C0X230,鹽水
C0X240,關子嶺
C0X250,新營
C0X260,後壁
C0X280,將軍
C0X290,北門
C0X300,鹿寮
C0X310,七股
C0X320,柳營
C0Z020,明里
C0Z050,佳心
C0Z061,玉里
C0Z070,舞鶴
C0Z080,富源
C0Z100,東華
C0Z150,吉安光華
C0Z160,鳳林
C0Z170,卓溪
C0Z180,新城
C0Z190,富世
C0Z200,萬榮
C0Z210,瑞穗
C0Z220,和平林道
C0Z230,和平
C0Z250,瑞穗林道
C0Z270,蕃薯寮
C0Z280,德武
C0Z290,赤柯山
C0Z300,東里
C0Z310,清水斷崖
C0Z320,清水林道
C0Z330,安通山
C1A630,下盆
C1A9N0,四十份
C1AC50,關渡
C1C510,水尾
C1D380,新埔
C1D400,鳥嘴山
C1D410,白蘭
C1D420,太閣南
C1D630,飛鳳山
C1D640,外坪(五指山)
C1E451,象鼻
C1E461,松安
C1E480,鳳美
C1E511,新開
C1E601,南勢
C1E670,南礦
C1E681,南勢山
C1E691,南湖
C1E701,八卦
C1E711,馬拉邦山
C1E721,泰安
C1E770,公館
C1F871,上谷關
C1F891,稍來
C1F911,新伯公
C1F941,雪嶺
C1F9B1,桐林
C1F9C1,白冷
C1F9D1,白毛台
C1F9E1,龍安
C1F9F1,伯公龍
C1F9G1,慶福山
C1F9J1,清水林
C1F9W0,德基
C1G691,下水埔
C1H000,翠峰
C1H860,瑞岩
C1H900,清流
C1H920,長豐
C1H941,雙冬
C1H971,六分寮
C1H9B1,阿眉
C1I020,萬大
C1I030,武界
C1I050,丹大
C1I070,和社
C1I101,溪頭
C1I121,大鞍
C1I131,桶頭
C1I140,卡奈托灣
C1I150,青雲
C1I201,中心崙
C1I211,蘆竹湳
C1I220,樟湖
C1I230,九份二山
C1I240,外大坪
C1I250,鯉潭
C1I260,北坑
C1I280,埔中
C1I290,豐丘
C1I310,西巒
C1I320,奧萬大
C1I330,楓樹林
C1I340,新興橋
C1I400,凌霄
C1I430,翠華
C1I440,新高口
C1I450,望鄉山
C1I470,杉林溪
C1I500,大尖山
C1I510,線浸林道
C1K540,口湖
C1M390,龍美
C1M400,菜瓜坪
C1M480,獨立山
C1M600,頭凍
C1M610,石磐龍
C1M620,瑞里
C1M640,十字
C1N001,沙崙
C1O850,環湖
C1O870,大棟山
C1O880,關山
C1O921,楠西
C1R110,口社
C1R120,上德文
C1R250,力里
C1R290,石門山
C1R610,西大武山
C1R630,龍泉
C1S670,摩天
C1S800,華源
C1S820,金峰
C1S850,豐南
C1S860,利嘉
C1S870,南美山
C1S880,壽卡
C1SA50,利嘉林道
C1SA70,都蘭
C1T800,洛韶
C1T810,慈恩
C1T830,布洛灣
C1T920,中興
C1T940,大觀
C1T950,太安
C1T970,大農
C1T980,龍澗
C1T990,高寮
C1TA00,太魯閣
C1U501,牛鬥
C1U670,寒溪
C1U690,新寮
C1U830,烏石鼻
C1U840,東澳嶺
C1U850,觀音海岸
C1U880,北關
C1U920,思源
C1V160,達卡努瓦
C1V170,排雲
C1V190,南天池
C1V200,梅山
C1V220,小關山
C1V231,高中
C1V300,御油山
C1V340,大津
C1V390,尖山
C1V570,吉東
C1V580,溪南(特生中心)
C1V590,新發
C1V600,藤枝
C1V780,多納林道
C1X040,東原
C1Z030,紅葉
C1Z040,立山
C1Z110,三棧
C1Z120,壽豐
C1Z130,銅門
C1Z140,荖溪
C1Z240,中平林道
466921,臺北(師院)
467411,臺南(永康)
467570,新竹
467780,七股
C0A510,大豹
C0A580,屈尺
C0A590,大尖山
C0A680,五股
C0A710,林口
C0A930,三和
C0A990,大崙尾山
C0A9A0,大直
C0A9B0,石牌
C0A9D0,永和
C0A9G0,南港
C0A9H0,信義
C0A9I0,三重
C0A9I1,三重
C0AC90,中和
C0AD20,深坑
C0C450,新屋
C0C500,楊梅
C0C520,中壢
C0C570,新屋
C0C580,新豐
C0C610,龍潭
C0C640,龜山
C0D370,湖口
C0D470,竹東
C0E410,觀霧
C0E440,大河
C0E530,三義
C0E580,苑里
C0E760,苑裡
C0F860,梨山
C0F900,雙崎
C0F920,石岡
C0F950,合歡山
C0F990,橫山
C0G710,台西
C0G790,花壇
C0G850,田中
C0H980,中興新村
C0K290,宜梧
C0K300,大埔
C0M830,山美
C0O890,南化
C0O910,新營
C0R340,牡丹
C0R360,墾丁
C0R370,佳樂水
C0R380,枋寮
C0R400,楓港
C0R420,牡丹池山
C0R430,東港
C0R500,竹田
C0S680,紅葉山
C0S720,靜浦
C0T840,新城
C0T841,新城
C0T9C0,富世
C0U620,壯圍
C0U640,羅東
C0U680,冬山
C0U730,思源
C0V150,表湖
C0V430,左營
C0X020,關子嶺
C0X270,柳營
C0Z060,玉里
C0Z260,豐裡
C1A640,石碇
C1A650,火燒寮
C1A660,瑞芳
C1A670,新莊
C1A680,五股
C1A690,木柵
C1A700,南勢角
C1A710,林口
C1A720,松山
C1A730,公館
C1A740,淡水
C1A970,關渡
C1AC80,文山
C1AC90,中和
C1ACA0,新莊
C1C460,大溪
C1C470,五權
C1C480,桃園
C1C490,八德
C1C500,楊梅
C1C520,中壢
C1C540,埔心
C1C620,蘆竹
C1D370,湖口
C1D390,關西
C1D430,峨眉
C1D440,新竹
C1D480,打鐵坑
C1D560,竹東
C1E440,大河
C1E450,象鼻
C1E460,松安
C1E470,馬達拉
C1E490,合流山
C1E500,卓蘭
C1E510,新開
C1E520,大湖
C1E540,後龍
C1E550,明德
C1E560,和興
C1E570,公館
C1E590,土城
C1E600,南勢
C1E680,南勢山
C1E690,南湖
C1E700,八卦
C1E710,馬拉邦山
C1E720,泰安
C1F000,大肚
C1F850,東勢
C1F870,上谷關
C1F880,阿眉
C1F890,稍來
C1F910,新伯公
C1F920,石岡
C1F930,大甲
C1F940,雪嶺
C1F960,水湳
C1F970,大坑
C1F980,炮子林
C1F990,橫山
C1F9A0,中竹林
C1F9B0,桐林
C1F9C0,白冷
C1F9D0,白毛台
C1F9E0,龍安
C1F9F0,伯公龍
C1F9G0,慶福山
C1F9H0,烏石坑
C1F9H1,烏石坑
C1F9I0,神岡
C1F9J0,清水林
C1G620,芬園
C1G630,彰化
C1G631,彰化
C1G660,溪湖
C1G670,溪州
C1G680,草湖
C1G690,下水埔
C1G700,中西
C1H850,翠巒
C1H870,仁愛
C1H880,凌霄
C1H890,大肚城
C1H910,魚池
C1H930,北山
C1H940,雙冬
C1H950,中寮
C1H960,草屯
C1H970,六分寮
C1H9B0,阿眉
C1I040,文文社
C1I060,望鄉
C1I080,信義
C1I100,溪頭
C1I120,大鞍
C1I130,桶頭
C1I160,龍神橋
C1I170,集集
C1I180,清水林
C1I190,水長流
C1I200,中心崙
C1I210,蘆竹湳
C1I270,水里
C1I300,上安橋
C1I350,東埔
C1K230,西螺
C1K250,崙背
C1K260,後安寮
C1K270,褒忠
C1K310,斗六
C1K320,阿丹
C1K340,土庫
C1K350,北港
C1K380,山豬湖
C1M440,新高口
C1M450,中坑
C1M460,溪口
C1M470,鰲鼓
C1M490,內埔
C1M500,魚寮
C1M510,朴子
C1M520,東後寮
C1M540,小公田
C1M550,中埔
C1M551,中埔
C1M560,南靖
C1M570,大湖
C1M630,豐山
C1N000,沙崙
C1O820,左鎮
C1O830,北寮
C1O840,王爺宮
C1O860,大內
C1O920,楠西
C1O950,和順
C1O960,崎頂
C1O970,虎頭埤
C1O980,新市
C1O990,媽廟
C1P9A0,三爺
C1R090,里港
C1R130,阿禮
C1R140,瑪家
C1R160,新圍
C1R170,屏東
C1R180,三爺
C1R190,赤山
C1R200,龍泉
C1R201,龍泉
C1R210,麟洛
C1R230,南州
C1R240,來義
C1R260,春日
C1R300,旭海
C1R310,壽卡
C1R320,車城
C1R330,枋山
C1R340,牡丹
C1R440,大漢山
C1S620,土阪
C1S630,都蘭
C1S640,東河
C1S650,長濱
C1S660,下馬
C1T850,吉安
C1T860,銅門
C1T880,吳全城
C1T890,壽豐
C1T900,西林
C1T910,東壙
C1T930,鳳林
C1U511,古魯
C1U521,雙連埤
C1U580,北關
C1U590,頭城
C1U610,大礁溪
C1U620,壯圍
C1U630,再連
C1U660,三星
C1U680,冬山
C1U700,土場
C1U720,南山
C1U860,頭城
C1V180,大寮
C1V210,復興
C1V230,高中
C1V240,新發
C1V260,月眉
C1V270,溪南
C1V280,藤枝
C1V290,新集
C1V320,吉東
C1V330,旗山
C1V350,溪埔
C1V360,木柵
C1V380,路竹
C1V400,竹子腳
C1V410,岡山
C1V420,鳳雄
C1V430,左營
C1V440,鳳山
C1V450,鳳森
C1V451,鳳森
C1V460,楠溪
C1V530,阿蓮
C1X010,岸內
C1X030,白河
C1X050,東河
C1X060,下營
C1X070,北門
C1X090,七股
C1Z010,卓樂
C1Z020,明里
